DATE,FEDFUNDS
3/1/2020,0.65
4/1/2020,0.05
5/1/2020,0.05
6/1/2020,0.08
7/1/2020,0.09
8/1/2020,0.1
9/1/2020,0.09
10/1/2020,0.09
11/1/2020,0.09
12/1/2020,0.09
1/1/2021,0.09
2/1/2021,0.08
3/1/2021,0.07
4/1/2021,0.07
5/1/2021,0.06
6/1/2021,0.08
7/1/2021,0.1
8/1/2021,0.09
9/1/2021,0.08
10/1/2021,0.08
11/1/2021,0.08
12/1/2021,0.08
1/1/2022,0.08
2/1/2022,0.08
3/1/2022,0.2
4/1/2022,0.33
5/1/2022,0.77
6/1/2022,1.21
7/1/2022,1.68
8/1/2022,2.33
9/1/2022,2.56
10/1/2022,3.08
11/1/2022,3.78
12/1/2022,4.1
1/1/2023,4.33
2/1/2023,4.57
3/1/2023,4.65
